Model,MDO34
Firmware Version,1.8.31

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,0.004
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-0.02
,
,
,
Label,
TIME,CH2
-2.000e+00,0.01
-1.996e+00,-0.01
-1.992e+00,0.01
-1.988e+00,0.01
-1.984e+00,-0.01
-1.980e+00,0.01
-1.976e+00,-0.01
-1.972e+00,0.01
-1.968e+00,-0.01
-1.964e+00,-0.01
-1.960e+00,0.01
-1.956e+00,0.01
-1.952e+00,-0.01
-1.948e+00,-0.01
-1.944e+00,-0.01
-1.940e+00,0.01
-1.936e+00,0.03
-1.932e+00,-0.01
-1.928e+00,0.01
-1.924e+00,0.03
-1.920e+00,0.01
-1.916e+00,0.01
-1.912e+00,0.01
-1.908e+00,0.01
-1.904e+00,0.01
-1.900e+00,0.01
-1.896e+00,0.01
-1.892e+00,0.01
-1.888e+00,0.01
-1.884e+00,0.01
-1.880e+00,0.01
-1.876e+00,0.01
-1.872e+00,0.01
-1.868e+00,0.01
-1.864e+00,0.01
-1.860e+00,0.01
-1.856e+00,0.01
-1.852e+00,-0.01
-1.848e+00,0.01
-1.844e+00,0.01
-1.840e+00,0.01
-1.836e+00,0.01
-1.832e+00,0.01
-1.828e+00,0.01
-1.824e+00,-0.01
-1.820e+00,0.03
-1.816e+00,-0.01
-1.812e+00,0.01
-1.808e+00,0.01
-1.804e+00,0.01
-1.800e+00,0.01
-1.796e+00,0.01
-1.792e+00,0.01
-1.788e+00,0.01
-1.784e+00,-0.01
-1.780e+00,0.01
-1.776e+00,0.01
-1.772e+00,0.01
-1.768e+00,0.01
-1.764e+00,0.01
-1.760e+00,0.01
-1.756e+00,0.01
-1.752e+00,0.01
-1.748e+00,0.01
-1.744e+00,0.01
-1.740e+00,0.01
-1.736e+00,0.01
-1.732e+00,0.01
-1.728e+00,0.01
-1.724e+00,0.01
-1.720e+00,0.01
-1.716e+00,0.01
-1.712e+00,0.01
-1.708e+00,0.03
-1.704e+00,0.01
-1.700e+00,0.01
-1.696e+00,0.01
-1.692e+00,0.01
-1.688e+00,-0.01
-1.684e+00,0.01
-1.680e+00,0.01
-1.676e+00,0.01
-1.672e+00,0.01
-1.668e+00,0.01
-1.664e+00,-0.01
-1.660e+00,0.01
-1.656e+00,0.01
-1.652e+00,0.01
-1.648e+00,0.01
-1.644e+00,0.01
-1.640e+00,0.01
-1.636e+00,0.01
-1.632e+00,0.01
-1.628e+00,0.01
-1.624e+00,-0.01
-1.620e+00,0.01
-1.616e+00,0.01
-1.612e+00,0.01
-1.608e+00,0.01
-1.604e+00,0.01
-1.600e+00,0.01
-1.596e+00,0.01
-1.592e+00,-0.01
-1.588e+00,0.01
-1.584e+00,0.01
-1.580e+00,0.01
-1.576e+00,0.01
-1.572e+00,0.01
-1.568e+00,0.01
-1.564e+00,0.01
-1.560e+00,-0.01
-1.556e+00,0.03
-1.552e+00,0.01
-1.548e+00,0.01
-1.544e+00,0.01
-1.540e+00,-0.01
-1.536e+00,0.01
-1.532e+00,0.01
-1.528e+00,0.01
-1.524e+00,0.01
-1.520e+00,0.01
-1.516e+00,0.01
-1.512e+00,0.01
-1.508e+00,0.01
-1.504e+00,0.01
-1.500e+00,0.01
-1.496e+00,0.01
-1.492e+00,0.01
-1.488e+00,0.01
-1.484e+00,0.01
-1.480e+00,0.01
-1.476e+00,0.01
-1.472e+00,0.01
-1.468e+00,-0.01
-1.464e+00,0.01
-1.460e+00,0.01
-1.456e+00,0.01
-1.452e+00,0.01
-1.448e+00,0.01
-1.444e+00,-0.01
-1.440e+00,0.01
-1.436e+00,0.01
-1.432e+00,0.01
-1.428e+00,0.01
-1.424e+00,-0.01
-1.420e+00,0.01
-1.416e+00,0.01
-1.412e+00,0.01
-1.408e+00,0.01
-1.404e+00,0.01
-1.400e+00,0.01
-1.396e+00,0.01
-1.392e+00,0.01
-1.388e+00,0.01
-1.384e+00,0.01
-1.380e+00,0.01
-1.376e+00,-0.01
-1.372e+00,0.01
-1.368e+00,0.01
-1.364e+00,0.01
-1.360e+00,0.01
-1.356e+00,0.01
-1.352e+00,0.03
-1.348e+00,0.01
-1.344e+00,0.01
-1.340e+00,0.01
-1.336e+00,0.01
-1.332e+00,0.01
-1.328e+00,0.01
-1.324e+00,0.01
-1.320e+00,0.01
-1.316e+00,-0.01
-1.312e+00,0.01
-1.308e+00,0.01
-1.304e+00,0.01
-1.300e+00,0.01
-1.296e+00,0.01
-1.292e+00,-0.01
-1.288e+00,0.01
-1.284e+00,-0.01
-1.280e+00,0.01
-1.276e+00,0.01
-1.272e+00,0.01
-1.268e+00,0.01
-1.264e+00,-0.01
-1.260e+00,0.01
-1.256e+00,0.01
-1.252e+00,0.03
-1.248e+00,-0.01
-1.244e+00,0.01
-1.240e+00,0.01
-1.236e+00,0.01
-1.232e+00,0.01
-1.228e+00,0.01
-1.224e+00,0.01
-1.220e+00,0.01
-1.216e+00,0.01
-1.212e+00,0.01
-1.208e+00,0.03
-1.204e+00,0.01
-1.200e+00,0.01
-1.196e+00,0.01
-1.192e+00,0.01
-1.188e+00,-0.01
-1.184e+00,0.01
-1.180e+00,-0.07
-1.176e+00,-0.01
-1.172e+00,-0.25
-1.168e+00,-0.41
-1.164e+00,-0.45
-1.160e+00,-0.47
-1.156e+00,-0.35
-1.152e+00,-0.29
-1.148e+00,-0.25
-1.144e+00,-0.27
-1.140e+00,-0.19
-1.136e+00,-0.21
-1.132e+00,-0.17
-1.128e+00,-0.15
-1.124e+00,-0.15
-1.120e+00,-0.11
-1.116e+00,-0.11
-1.112e+00,-0.07
-1.108e+00,-0.07
-1.104e+00,-0.05
-1.100e+00,-0.05
-1.096e+00,-0.03
-1.092e+00,-0.01
-1.088e+00,-0.03
-1.084e+00,-0.01
-1.080e+00,-0.01
-1.076e+00,-0.01
-1.072e+00,0.01
-1.068e+00,0.01
-1.064e+00,-0.01
-1.060e+00,0.01
-1.056e+00,0.01
-1.052e+00,0.01
-1.048e+00,0.01
-1.044e+00,0.01
-1.040e+00,0.01
-1.036e+00,0.01
-1.032e+00,0.01
-1.028e+00,-0.01
-1.024e+00,0.01
-1.020e+00,0.01
-1.016e+00,-0.01
-1.012e+00,0.03
-1.008e+00,0.01
-1.004e+00,0.01
-1.000e+00,0.01
-9.960e-01,0.01
-9.920e-01,0.01
-9.880e-01,0.03
-9.840e-01,0.01
-9.800e-01,0.01
-9.760e-01,0.05
-9.720e-01,0.03
-9.680e-01,0.01
-9.640e-01,0.01
-9.600e-01,0.01
-9.560e-01,0.03
-9.520e-01,0.01
-9.480e-01,0.01
-9.440e-01,-0.01
-9.400e-01,0.01
-9.360e-01,0.01
-9.320e-01,0.01
-9.280e-01,0.01
-9.240e-01,-0.01
-9.200e-01,0.01
-9.160e-01,0.01
-9.120e-01,0.01
-9.080e-01,0.01
-9.040e-01,0.01
-9.000e-01,0.01
-8.960e-01,0.01
-8.920e-01,0.01
-8.880e-01,0.01
-8.840e-01,0.01
-8.800e-01,0.01
-8.760e-01,0.01
-8.720e-01,0.01
-8.680e-01,0.01
-8.640e-01,0.03
-8.600e-01,0.01
-8.560e-01,0.01
-8.520e-01,0.01
-8.480e-01,0.01
-8.440e-01,0.01
-8.400e-01,0.01
-8.360e-01,-0.01
-8.320e-01,0.01
-8.280e-01,0.01
-8.240e-01,0.01
-8.200e-01,0.01
-8.160e-01,-0.01
-8.120e-01,0.01
-8.080e-01,0.01
-8.040e-01,-0.01
-8.000e-01,0.01
-7.960e-01,0.01
-7.920e-01,0.01
-7.880e-01,0.01
-7.840e-01,0.01
-7.800e-01,-0.01
-7.760e-01,0.01
-7.720e-01,0.01
-7.680e-01,0.01
-7.640e-01,0.01
-7.600e-01,-0.01
-7.560e-01,-0.01
-7.520e-01,0.01
-7.480e-01,0.01
-7.440e-01,0.01
-7.400e-01,0.01
-7.360e-01,0.01
-7.320e-01,0.01
-7.280e-01,0.01
-7.240e-01,0.03
-7.200e-01,-0.01
-7.160e-01,-0.01
-7.120e-01,0.01
-7.080e-01,0.01
-7.040e-01,0.01
-7.000e-01,0.01
-6.960e-01,0.01
-6.920e-01,0.01
-6.880e-01,-0.01
-6.840e-01,0.01
-6.800e-01,0.01
-6.760e-01,-0.01
-6.720e-01,0.01
-6.680e-01,0.01
-6.640e-01,0.01
-6.600e-01,0.01
-6.560e-01,-0.01
-6.520e-01,0.01
-6.480e-01,0.01
-6.440e-01,0.01
-6.400e-01,0.01
-6.360e-01,0.01
-6.320e-01,0.01
-6.280e-01,0.01
-6.240e-01,-0.01
-6.200e-01,0.01
-6.160e-01,-0.01
-6.120e-01,0.01
-6.080e-01,0.01
-6.040e-01,0.01
-6.000e-01,0.03
-5.960e-01,0.01
-5.920e-01,0.01
-5.880e-01,0.03
-5.840e-01,0.01
-5.800e-01,-0.01
-5.760e-01,0.01
-5.720e-01,0.01
-5.680e-01,0.01
-5.640e-01,0.01
-5.600e-01,0.01
-5.560e-01,0.03
-5.520e-01,0.01
-5.480e-01,0.07
-5.440e-01,0.15
-5.400e-01,0.11
-5.360e-01,-0.07
-5.320e-01,-0.01
-5.280e-01,-0.55
-5.240e-01,-0.87
-5.200e-01,-0.65
-5.160e-01,-0.69
-5.120e-01,-0.61
-5.080e-01,-0.53
-5.040e-01,-0.43
-5.000e-01,-0.33
-4.960e-01,-0.21
-4.920e-01,-0.11
-4.880e-01,-0.11
-4.840e-01,-0.13
-4.800e-01,-0.05
-4.760e-01,-0.05
-4.720e-01,-0.07
-4.680e-01,-0.01
-4.640e-01,0.01
-4.600e-01,-0.01
-4.560e-01,0.05
-4.520e-01,0.01
-4.480e-01,0.05
-4.440e-01,0.05
-4.400e-01,0.07
-4.360e-01,0.09
-4.320e-01,0.07
-4.280e-01,0.09
-4.240e-01,0.11
-4.200e-01,0.09
-4.160e-01,0.07
-4.120e-01,0.11
-4.080e-01,0.09
-4.040e-01,0.15
-4.000e-01,0.13
-3.960e-01,0.19
-3.920e-01,0.21
-3.880e-01,0.27
-3.840e-01,0.27
-3.800e-01,0.15
-3.760e-01,0.13
-3.720e-01,0.09
-3.680e-01,-0.31
-3.640e-01,-0.67
-3.600e-01,-0.59
-3.560e-01,-0.63
-3.520e-01,-0.63
-3.480e-01,-0.51
-3.440e-01,-0.43
-3.400e-01,-0.31
-3.360e-01,-0.29
-3.320e-01,-0.15
-3.280e-01,-0.23
-3.240e-01,-0.19
-3.200e-01,-0.05
-3.160e-01,-0.05
-3.120e-01,0.01
-3.080e-01,-0.05
-3.040e-01,-0.01
-3.000e-01,-0.01
-2.960e-01,0.05
-2.920e-01,0.05
-2.880e-01,0.05
-2.840e-01,0.05
-2.800e-01,0.05
-2.760e-01,0.07
-2.720e-01,0.09
-2.680e-01,0.09
-2.640e-01,0.11
-2.600e-01,0.09
-2.560e-01,0.11
-2.520e-01,0.09
-2.480e-01,0.11
-2.440e-01,0.11
-2.400e-01,0.11
-2.360e-01,0.11
-2.320e-01,0.11
-2.280e-01,0.13
-2.240e-01,0.11
-2.200e-01,0.11
-2.160e-01,0.11
-2.120e-01,0.11
-2.080e-01,0.11
-2.040e-01,0.11
-2.000e-01,0.09
-1.960e-01,0.13
-1.920e-01,0.11
-1.880e-01,0.11
-1.840e-01,0.09
-1.800e-01,0.09
-1.760e-01,0.01
-1.720e-01,-0.11
-1.680e-01,0.05
-1.640e-01,-0.21
-1.600e-01,-0.23
-1.560e-01,-0.37
-1.520e-01,-0.09
-1.480e-01,-0.85
-1.440e-01,-0.85
-1.400e-01,-0.79
-1.360e-01,-0.75
-1.320e-01,-0.61
-1.280e-01,-0.59
-1.240e-01,-0.47
-1.200e-01,-0.27
-1.160e-01,-0.31
-1.120e-01,-0.25
-1.080e-01,-0.23
-1.040e-01,-0.11
-1.000e-01,-0.13
-9.600e-02,-0.11
-9.200e-02,0.01
-8.800e-02,-0.01
-8.400e-02,-0.01
-8.000e-02,0.01
-7.600e-02,0.05
-7.200e-02,0.05
-6.800e-02,0.09
-6.400e-02,0.09
-6.000e-02,0.09
-5.600e-02,0.11
-5.200e-02,0.11
-4.800e-02,0.09
-4.400e-02,0.11
-4.000e-02,0.09
-3.600e-02,0.13
-3.200e-02,0.11
-2.800e-02,0.09
-2.400e-02,0.13
-2.000e-02,0.09
-1.600e-02,0.09
-1.200e-02,0.07
-8.000e-03,0.15
-4.000e-03,0.13
2.000e-15,0.13
4.000e-03,0.13
8.000e-03,0.11
1.200e-02,0.13
1.600e-02,0.11
2.000e-02,0.11
2.400e-02,0.13
2.800e-02,0.07
3.200e-02,0.09
3.600e-02,0.15
4.000e-02,0.15
4.400e-02,0.13
4.800e-02,0.13
5.200e-02,0.19
5.600e-02,0.07
6.000e-02,0.21
6.400e-02,0.09
6.800e-02,0.07
7.200e-02,0.05
7.600e-02,0.07
8.000e-02,0.13
8.400e-02,-0.01
8.800e-02,-0.01
9.200e-02,0.03
9.600e-02,0.01
1.000e-01,0.13
1.040e-01,0.09
1.080e-01,0.13
1.120e-01,0.15
1.160e-01,0.17
1.200e-01,0.15
1.240e-01,0.19
1.280e-01,0.19
1.320e-01,0.17
1.360e-01,0.17
1.400e-01,0.17
1.440e-01,0.09
1.480e-01,0.09
1.520e-01,0.09
1.560e-01,0.07
1.600e-01,0.05
1.640e-01,0.09
1.680e-01,0.09
1.720e-01,0.09
1.760e-01,0.11
1.800e-01,0.15
1.840e-01,0.13
1.880e-01,0.17
1.920e-01,0.17
1.960e-01,0.19
2.000e-01,0.19
2.040e-01,0.17
2.080e-01,-0.05
2.120e-01,-0.31
2.160e-01,-0.33
2.200e-01,-0.33
2.240e-01,-0.33
2.280e-01,-0.69
2.320e-01,-0.21
2.360e-01,-0.99
2.400e-01,-0.95
2.440e-01,-0.77
2.480e-01,-0.79
2.520e-01,-0.79
2.560e-01,-0.65
2.600e-01,-0.65
2.640e-01,-0.57
2.680e-01,-0.51
2.720e-01,-0.25
2.760e-01,-0.23
2.800e-01,-0.29
2.840e-01,-0.21
2.880e-01,-0.09
2.920e-01,-0.03
2.960e-01,0.03
3.000e-01,0.03
3.040e-01,0.05
3.080e-01,0.05
3.120e-01,0.01
3.160e-01,0.07
3.200e-01,0.05
3.240e-01,0.07
3.280e-01,0.03
3.320e-01,-0.01
3.360e-01,0.01
3.400e-01,0.01
3.440e-01,0.03
3.480e-01,0.03
3.520e-01,0.05
3.560e-01,0.03
3.600e-01,0.11
3.640e-01,0.13
3.680e-01,0.13
3.720e-01,0.13
3.760e-01,0.15
3.800e-01,0.13
3.840e-01,0.13
3.880e-01,0.17
3.920e-01,0.15
3.960e-01,0.15
4.000e-01,0.13
4.040e-01,0.11
4.080e-01,0.11
4.120e-01,0.07
4.160e-01,0.09
4.200e-01,0.05
4.240e-01,0.07
4.280e-01,0.11
4.320e-01,0.07
4.360e-01,0.09
4.400e-01,0.09
4.440e-01,0.11
4.480e-01,0.13
4.520e-01,0.15
4.560e-01,0.11
4.600e-01,0.13
4.640e-01,0.13
4.680e-01,0.13
4.720e-01,0.15
4.760e-01,0.13
4.800e-01,0.13
4.840e-01,0.11
4.880e-01,0.11
4.920e-01,0.09
4.960e-01,0.07
5.000e-01,0.09
5.040e-01,0.09
5.080e-01,0.09
5.120e-01,0.07
5.160e-01,0.09
5.200e-01,0.09
5.240e-01,0.13
5.280e-01,0.07
5.320e-01,0.11
5.360e-01,0.11
5.400e-01,0.13
5.440e-01,0.11
5.480e-01,0.13
5.520e-01,0.11
5.560e-01,0.09
5.600e-01,0.11
5.640e-01,0.11
5.680e-01,0.11
5.720e-01,0.07
5.760e-01,0.09
5.800e-01,0.11
5.840e-01,0.09
5.880e-01,0.09
5.920e-01,0.09
5.960e-01,0.07
6.000e-01,0.03
6.040e-01,0.09
6.080e-01,0.09
6.120e-01,0.07
6.160e-01,0.07
6.200e-01,0.05
6.240e-01,0.07
6.280e-01,0.05
6.320e-01,0.13
6.360e-01,0.19
6.400e-01,0.13
6.440e-01,0.11
6.480e-01,0.17
6.520e-01,0.35
6.560e-01,0.15
6.600e-01,0.15
6.640e-01,0.23
6.680e-01,0.33
6.720e-01,0.29
6.760e-01,0.21
6.800e-01,0.33
6.840e-01,0.17
6.880e-01,0.09
6.920e-01,0.15
6.960e-01,0.17
7.000e-01,0.13
7.040e-01,0.13
7.080e-01,0.15
7.120e-01,0.15
7.160e-01,0.15
7.200e-01,0.17
7.240e-01,0.15
7.280e-01,0.13
7.320e-01,0.07
7.360e-01,0.13
7.400e-01,0.13
7.440e-01,0.13
7.480e-01,0.13
7.520e-01,0.15
7.560e-01,0.13
7.600e-01,0.13
7.640e-01,0.11
7.680e-01,0.13
7.720e-01,0.13
7.760e-01,0.11
7.800e-01,0.11
7.840e-01,0.11
7.880e-01,0.11
7.920e-01,0.11
7.960e-01,0.11
8.000e-01,0.11
8.040e-01,0.09
8.080e-01,0.09
8.120e-01,0.09
8.160e-01,0.09
8.200e-01,0.09
8.240e-01,0.11
8.280e-01,0.09
8.320e-01,0.09
8.360e-01,0.09
8.400e-01,0.07
8.440e-01,0.09
8.480e-01,0.09
8.520e-01,0.07
8.560e-01,0.07
8.600e-01,0.09
8.640e-01,0.07
8.680e-01,0.07
8.720e-01,0.07
8.760e-01,0.07
8.800e-01,0.07
8.840e-01,0.07
8.880e-01,0.07
8.920e-01,0.07
8.960e-01,0.05
9.000e-01,0.05
9.040e-01,0.05
9.080e-01,0.07
9.120e-01,0.05
9.160e-01,0.05
9.200e-01,0.05
9.240e-01,0.05
9.280e-01,0.05
9.320e-01,0.05
9.360e-01,0.05
9.400e-01,0.09
9.440e-01,0.03
9.480e-01,0.09
9.520e-01,0.05
9.560e-01,0.05
9.600e-01,0.05
9.640e-01,0.05
9.680e-01,0.05
9.720e-01,0.05
9.760e-01,0.05
9.800e-01,0.03
9.840e-01,0.03
9.880e-01,0.05
9.920e-01,0.05
9.960e-01,0.03
1.000e+00,0.03
1.004e+00,0.05
1.008e+00,0.05
1.012e+00,0.07
1.016e+00,0.03
1.020e+00,0.03
1.024e+00,0.03
1.028e+00,0.05
1.032e+00,0.03
1.036e+00,0.05
1.040e+00,0.05
1.044e+00,0.05
1.048e+00,0.01
1.052e+00,0.05
1.056e+00,0.03
1.060e+00,0.01
1.064e+00,0.01
1.068e+00,0.03
1.072e+00,0.05
1.076e+00,0.01
1.080e+00,0.03
1.084e+00,0.03
1.088e+00,0.03
1.092e+00,0.03
1.096e+00,0.03
1.100e+00,0.05
1.104e+00,0.03
1.108e+00,0.05
1.112e+00,0.03
1.116e+00,0.03
1.120e+00,0.01
1.124e+00,0.03
1.128e+00,0.03
1.132e+00,0.01
1.136e+00,0.01
1.140e+00,0.03
1.144e+00,0.03
1.148e+00,0.03
1.152e+00,0.03
1.156e+00,0.01
1.160e+00,0.03
1.164e+00,0.03
1.168e+00,0.01
1.172e+00,0.01
1.176e+00,0.01
1.180e+00,0.03
1.184e+00,0.03
1.188e+00,0.01
1.192e+00,0.01
1.196e+00,0.01
1.200e+00,0.03
1.204e+00,0.01
1.208e+00,0.01
1.212e+00,0.03
1.216e+00,0.01
1.220e+00,0.03
1.224e+00,0.03
1.228e+00,0.01
1.232e+00,0.01
1.236e+00,0.01
1.240e+00,0.01
1.244e+00,0.01
1.248e+00,0.03
1.252e+00,0.03
1.256e+00,0.01
1.260e+00,0.01
1.264e+00,0.03
1.268e+00,0.01
1.272e+00,0.01
1.276e+00,0.01
1.280e+00,0.01
1.284e+00,0.01
1.288e+00,0.01
1.292e+00,0.01
1.296e+00,0.01
1.300e+00,0.01
1.304e+00,0.01
1.308e+00,0.01
1.312e+00,0.01
1.316e+00,0.01
1.320e+00,0.01
1.324e+00,0.01
1.328e+00,0.01
1.332e+00,0.01
1.336e+00,0.01
1.340e+00,0.01
1.344e+00,0.01
1.348e+00,0.01
1.352e+00,0.01
1.356e+00,0.01
1.360e+00,0.01
1.364e+00,0.01
1.368e+00,0.01
1.372e+00,0.01
1.376e+00,0.01
1.380e+00,0.01
1.384e+00,0.01
1.388e+00,-0.01
1.392e+00,0.01
1.396e+00,0.01
1.400e+00,0.01
1.404e+00,0.01
1.408e+00,0.01
1.412e+00,0.01
1.416e+00,0.03
1.420e+00,0.01
1.424e+00,0.01
1.428e+00,0.01
1.432e+00,0.01
1.436e+00,0.01
1.440e+00,0.01
1.444e+00,0.03
1.448e+00,0.01
1.452e+00,0.01
1.456e+00,0.01
1.460e+00,0.01
1.464e+00,-0.01
1.468e+00,0.01
1.472e+00,0.01
1.476e+00,0.01
1.480e+00,0.01
1.484e+00,0.01
1.488e+00,0.01
1.492e+00,0.01
1.496e+00,0.03
1.500e+00,0.01
1.504e+00,0.01
1.508e+00,0.01
1.512e+00,0.01
1.516e+00,0.01
1.520e+00,0.01
1.524e+00,0.01
1.528e+00,0.01
1.532e+00,0.01
1.536e+00,0.01
1.540e+00,0.01
1.544e+00,0.01
1.548e+00,0.01
1.552e+00,0.01
1.556e+00,0.01
1.560e+00,0.01
1.564e+00,0.01
1.568e+00,0.01
1.572e+00,0.01
1.576e+00,0.03
1.580e+00,0.01
1.584e+00,0.01
1.588e+00,0.01
1.592e+00,-0.01
1.596e+00,0.01
1.600e+00,0.01
1.604e+00,0.01
1.608e+00,0.01
1.612e+00,0.01
1.616e+00,0.01
1.620e+00,0.03
1.624e+00,0.01
1.628e+00,0.01
1.632e+00,0.03
1.636e+00,0.01
1.640e+00,0.01
1.644e+00,0.01
1.648e+00,0.01
1.652e+00,0.01
1.656e+00,0.01
1.660e+00,0.01
1.664e+00,0.01
1.668e+00,0.01
1.672e+00,0.01
1.676e+00,0.01
1.680e+00,0.01
1.684e+00,0.03
1.688e+00,0.01
1.692e+00,0.01
1.696e+00,0.01
1.700e+00,0.01
1.704e+00,0.01
1.708e+00,0.01
1.712e+00,0.01
1.716e+00,0.01
1.720e+00,0.01
1.724e+00,0.01
1.728e+00,0.01
1.732e+00,0.01
1.736e+00,0.01
1.740e+00,0.01
1.744e+00,0.01
1.748e+00,0.01
1.752e+00,0.01
1.756e+00,0.01
1.760e+00,0.01
1.764e+00,0.01
1.768e+00,0.01
1.772e+00,0.01
1.776e+00,0.01
1.780e+00,0.03
1.784e+00,0.01
1.788e+00,0.01
1.792e+00,0.01
1.796e+00,0.01
1.800e+00,0.01
1.804e+00,0.01
1.808e+00,0.01
1.812e+00,0.01
1.816e+00,0.01
1.820e+00,0.01
1.824e+00,0.01
1.828e+00,0.01
1.832e+00,0.01
1.836e+00,-0.01
1.840e+00,0.01
1.844e+00,0.01
1.848e+00,0.01
1.852e+00,0.01
1.856e+00,0.01
1.860e+00,0.01
1.864e+00,0.01
1.868e+00,0.01
1.872e+00,0.01
1.876e+00,0.01
1.880e+00,0.01
1.884e+00,0.01
1.888e+00,0.01
1.892e+00,0.01
1.896e+00,0.01
1.900e+00,0.01
1.904e+00,0.01
1.908e+00,0.01
1.912e+00,0.01
1.916e+00,-0.01
1.920e+00,0.01
1.924e+00,0.01
1.928e+00,0.01
1.932e+00,0.01
1.936e+00,0.01
1.940e+00,0.01
1.944e+00,0.01
1.948e+00,0.01
1.952e+00,-0.01
1.956e+00,0.01
1.960e+00,0.01
1.964e+00,0.01
1.968e+00,0.01
1.972e+00,0.01
1.976e+00,-0.01
1.980e+00,0.01
1.984e+00,0.01
1.988e+00,0.01
1.992e+00,0.01
1.996e+00,0.01

